tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline
420808,False,False,,0,"['Family', 'Fantasy', 'Action', 'Adventure']","Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",2,Walt Disney Pictures,4,2023,0,Escape to Neverland.
7364,False,False,,130000000,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']","Seasoned adventurer and treasure hunter Dirk Pitt, a former Navy SEAL, sets out for the African desert with his wisecracking buddy Al in search of a confederate ironclad battleship rumored to have vanished long ago, the main draw being the treasure supposedly hidden within the lost vessel. When the daring duo come across Dr. Eva Rojas, a beautiful scientist who is juggling an escape from a warlord and a mission to stop the spread of a powerful plague, their desert expedition begins to heat up.",2234,Baldwin Entertainment Group,4,2005,119269486,Adventure has a new destination.
866198,False,False,,0,"['Action', 'Drama']","Set in the early 1990s, Michael, a simple yet daring boy from the south moves to Bombay with a personal strong motive, grow under the wings of Gurunath, a dreaded gangster. Michael is assigned with a task of killing the man involved in the attempted assassination of Gurunath. Things take a turn as he falls in love with the target's daughter, Theera, in Delhi.",159804,Karan C Productions LLP,2,2023,0,God only Forgives
457335,False,False,,0,"['Action', 'Comedy']","An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter.",19638,Altitude Film Entertainment,2,2020,835102,Get loaded
530254,False,True,619533,5500000,"['Action', 'Mystery', 'Thriller', 'Science Fiction']","Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.",10924,Peppermint&company,6,2018,24340302,Everything changed after they appeared.
585216,False,True,769423,15000000,"['Horror', 'Thriller', 'Mystery']","Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive... and discovering they've all played the games before.",333,Original Film,7,2021,65800000,Winning was just the beginning.
421,False,False,,50000000,"['Adventure', 'Comedy', 'Drama']","Renowned oceanographer Steve Zissou has sworn vengeance upon the rare shark that devoured a member of his crew. In addition to his regular team, he is joined on his boat by Ned, a man who believes Zissou to be his father, and Jane, a journalist pregnant by a married man. They travel the sea, all too often running into pirates and, perhaps more traumatically, various figures from Zissou's past, including his estranged wife, Eleanor.",23449,American Empirical Pictures,12,2004,34808403,"The deeper you go, the weirder life gets."
760873,False,False,,0,"['Science Fiction', 'Thriller']","In the not-too-distant future: after a global catastrophe has wiped out nearly all of humanity on Earth, an elite astronaut from Space Colony Kepler must make a decision that will seal the fate of the people on both planets.",120797,BerghausWöbke Filmproduktion,8,2021,328914,Will Earth wait for us?
818,False,True,1006,63000000,"['Comedy', 'Crime', 'Science Fiction']","The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",595,Eric's Boy,7,2002,296938801,"The grooviest movie of the summer has a secret, baby!"
9386,False,False,,40000000,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']","Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",97,Castle Rock Entertainment,7,1993,177000000,An assassin on the loose. A president in danger. Only one man stands between them…
