tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline,director,actor_0_name,actor_0_id,actor_0_gender,actor_1_name,actor_1_id,actor_1_gender,actor_2_name,actor_2_id,actor_2_gender,actor_3_name,actor_3_id,actor_3_gender,actor_4_name,actor_4_id,actor_4_gender
27957,False,False,,2000000,"['War', 'History', 'Action', 'Adventure', 'Drama']",A small task force of the Turkish army have to defend a relay station in the middle of nowhere against a possible terrorist raid.,42712,Fida Film,10,2009,13500000,,Levent Semerci,Mete Horozoğlu,107999,2,İlker Kızmaz,108001,2,Ibrahim Akoz,107906,2,Serkan Altintas,107986,0,Okan Avcı,107987,2
381374,False,False,,300000,"['Action', 'Comedy', 'Crime']","Biju is an honest policeman who fights the injustice head-on. In his pursuit to keep things under control and clean, he encounters a series of events and cases which test his authority, honesty and integrity. With a week to his wedding, what ensues is a heartfelt story of a cop sans the cinematic hype.",93047,Pauly Jr. Pictures,2,2016,2500000,A ride with a police officer,,Nivin Pauly,1071561,2,Joju George,1357376,2,Saiju Kurup,591117,2,Major Ravi,584493,2,Anu Emmanuel,1584559,1
102358,False,False,,6800000,"['Action', 'Drama']","Three brothers band together for a time, separate, then reunite for revenge on the man who killed their father and jailed their mother.",3725,Mukta Arts Ltd,12,1995,9600000,,Subhash Ghai,Shah Rukh Khan,35742,2,Anil Kapoor,72118,2,Jackie Shroff,86014,2,Saeed Jaffrey,11852,2,Priya Tendulkar,1041409,1
99846,False,False,,700000,"['Action', 'Crime', 'Drama']",The three surviving daughters of a murdered moonshiner band together with a racecar driver to run high-test shine behind the corpulent backs of the local crime syndicate.,80717,Universal Majestic Inc.,6,1977,1000000,They Make It Every Night,Gus Trikonis,John Saxon,11163,2,Susan Howard,160524,1,William Conrad,16412,2,Morgan Woodward,13869,2,Claudia Jennings,45469,1
607313,False,False,,11000000,['Action'],A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,69124,G. Mahesh Babu Entertainment Pvt. Ltd,1,2020,46892742,,,Mahesh Babu,116924,2,Vijayashanti,584259,1,Rashmika Mandanna,1752056,1,Prakash Raj,89153,2,Sangeetha Krish,1052854,1
15074,False,False,,40000000,"['Action', 'Adventure', 'Thriller']","While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.",4,Paramount,11,2002,10959475,Speed is a weapon. Fear is the trigger.,Christian Duguay,Devon Sawa,50398,2,Bridgette Wilson-Sampras,20751,1,Rufus Sewell,17328,2,Rupert Graves,11278,2,Heino Ferch,1086,2
10798,False,False,,19610000,"['Action', 'Adventure']",Two air force pilots prevent a terrorist attack on the Bastille Day celebrations in Paris.,20007,Outsider Productions,10,2005,10720864,,Gérard Pirès,Benoît Magimel,5442,2,Clovis Cornillac,24891,2,Géraldine Pailhas,19888,1,Alice Taglioni,38863,1,Jean-Baptiste Puech,1105577,2
24231,False,False,,8030000,"['Action', 'Comedy']",A New York DEA agent springs an outlaw from jail to lead him to stolen money in South America.,1302,Davis Entertainment,5,1993,3411885,"In a South American country, there's only one way to take down a druglord: point blank.",Deran Sarafian,Christophe Lambert,38559,2,Mario Van Peebles,16214,2,Denis Leary,5724,2,Patrick Stewart,2387,2,Sally Kirkland,12134,1
382597,False,False,,32400000,"['Action', 'Comedy']","The story of a woman who dreams to join an intervention group in the police department called RAID. Unfortunately, she is rather clumsy and both her family (and soon to be family-in-law) and a veteran of the RAID do not approve. However, Johanna is determined to prove them wrong.",356,TF1 Films Production,2,2017,34598750,,,Alice Pol,129168,1,Dany Boon,37627,2,Michel Blanc,21175,2,Yvan Attal,2245,2,Sabine Azéma,20851,1
362136,False,False,,23400000,"['Romance', 'Drama', 'Action']","While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",12154,Star Studios,11,2015,67000000,,Sooraj Barjatya,Salman Khan,42802,2,Sonam Kapoor Ahuja,85040,1,Neil Nitin Mukesh,85045,2,Anupam Kher,6217,2,Swara Bhasker,227701,1
